City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3874787,Punta Arenas,CL,-53.15,-70.92,42.39,70,40,2.24
1817240,Baiyin,CN,36.56,104.21,51.8,29,40,11.18
3369157,Cape Town,ZA,-33.93,18.42,64.85,52,20,4.7
2071860,Esperance,AU,-33.87,121.9,71.6,46,0,10.29
1015776,Bredasdorp,ZA,-34.53,20.04,68.0,45,99,5.82
113659,Tabas,IR,33.6,56.92,87.8,22,34,4.7
2112309,Katsuura,JP,35.13,140.3,64.72,68,75,17.22
5955902,Fort Nelson,CA,58.81,-122.7,53.6,30,75,6.93
2171722,Charters Towers,AU,-20.1,146.27,77.4,61,37,10.09
2126710,Beringovskiy,RU,63.05,179.32,10.31,93,31,9.55
470304,Vysha,RU,53.85,42.38,41.23,82,100,19.84
3833367,Ushuaia,AR,-54.8,-68.3,41.0,75,40,36.91
4030556,Rikitea,PF,-23.12,-134.97,77.68,76,0,8.55
2618795,Klaksvík,FO,62.23,-6.59,48.2,70,98,13.87
2026643,Birobidzhan,RU,48.8,132.95,33.37,91,100,11.25
6201424,Mataura,NZ,-46.19,168.86,51.01,91,100,3.0
5954718,Flin Flon,CA,54.77,-101.86,15.35,93,100,5.06
5122534,Jamestown,US,42.1,-79.24,42.8,52,90,10.29
2155415,New Norfolk,AU,-42.78,147.06,55.33,65,80,1.99
5364022,La Palma,US,33.85,-118.05,57.07,67,40,2.86
3146487,Raudeberg,NO,61.99,5.14,52.12,57,0,4.7
3407357,Araguaína,BR,-7.19,-48.21,72.3,90,100,3.09
2123814,Leningradskiy,RU,69.38,178.42,4.55,90,4,6.42
3579925,St. George's,GD,12.06,-61.75,79.7,78,1,15.14
1259395,Porbandar,IN,21.64,69.61,90.34,45,0,16.44
2514651,Los Llanos de Aridane,ES,28.66,-17.92,62.42,59,75,12.75
3839307,Rawson,AR,-43.3,-65.1,51.89,46,1,11.41
6165406,Thompson,CA,55.74,-97.86,-11.2,76,5,3.36
2610806,Vágur,FO,61.47,-6.81,46.71,82,100,17.38
7671223,Kloulklubed,PW,7.04,134.26,80.6,88,75,4.7
3572462,Dunmore Town,BS,25.5,-76.65,81.01,78,90,14.16
3366880,Hermanus,ZA,-34.42,19.23,64.99,74,70,4.76
3652764,Puerto Ayora,EC,-0.74,-90.35,79.0,84,95,8.01
4032243,Vaini,TO,-21.2,-175.2,77.0,88,75,6.93
5106841,Albany,US,42.6,-73.97,32.4,64,20,4.34
4866445,Mason City,US,43.15,-93.2,33.28,73,1,10.29
5866583,Saint Paul Harbor,US,57.79,-152.41,42.8,87,90,3.36
2236053,Abong Mbang,CM,3.98,13.18,82.06,51,94,2.19
2294915,Takoradze,GH,4.88,-1.76,83.05,76,100,7.67
3393471,Oriximiná,BR,-1.77,-55.87,74.82,92,97,1.39
3887127,Iquique,CL,-20.22,-70.14,66.2,72,75,5.82
964432,Port Alfred,ZA,-33.59,26.89,66.99,84,100,4.0
4035715,Avarua,CK,-21.21,-159.78,78.8,78,14,11.41
1282256,Hithadhoo,MV,-0.6,73.08,85.46,72,100,8.34
1735106,George Town,MY,5.41,100.34,89.74,75,20,4.7
935215,Saint-Philippe,RE,-21.36,55.77,74.52,69,90,29.97
4020109,Atuona,PF,-9.8,-139.03,81.66,72,14,12.24
4034551,Faanui,PF,-16.48,-151.75,81.14,80,100,17.05
6170031,Tuktoyaktuk,CA,69.45,-133.04,2.43,94,16,9.78
2180815,Tuatapere,NZ,-46.13,167.68,51.01,91,100,3.0
2297810,Mumford,GH,5.26,-0.76,83.37,74,100,9.66
3372707,Ribeira Grande,PT,38.52,-28.7,62.6,82,75,11.41
712775,Bashtanka,UA,47.41,32.44,52.2,42,24,10.85
1714733,Dingle,PH,11.0,122.67,87.87,62,48,12.55
964420,Port Elizabeth,ZA,-33.92,25.57,68.0,68,40,14.99
2206939,Bluff,NZ,-46.6,168.33,51.01,91,100,3.0
2640526,Walkerburn,GB,55.62,-3.02,49.98,82,0,11.01
777682,Skjervøy,NO,70.03,20.97,39.2,64,40,25.28
6167817,Torbay,CA,47.67,-52.73,35.47,74,90,16.11
4031637,Lavrentiya,RU,65.58,-171.0,7.29,91,13,6.91
2028078,Aginskoye,RU,51.1,114.53,35.82,41,100,16.91
2063042,Port Hedland,AU,-20.32,118.57,96.8,37,60,12.75
3388760,São Geraldo do Araguaia,BR,-6.4,-48.55,71.71,92,79,1.3
1651810,Airai,TL,-8.93,125.41,65.77,73,70,3.27
1819729,Hong Kong,HK,22.29,114.16,80.83,66,20,13.87
2208248,Kaitangata,NZ,-46.28,169.85,54.0,74,100,1.99
556268,Ostrovnoy,RU,68.05,39.51,34.3,89,89,22.84
2121385,Severo-Kuril'sk,RU,50.68,156.12,30.38,94,99,19.46
2075265,Busselton,AU,-33.65,115.33,69.96,51,61,14.74
6111862,Port Hardy,CA,50.7,-127.42,39.2,93,75,3.36
2381334,Atar,MR,20.52,-13.05,74.53,26,0,16.6
3939168,Huarmey,PE,-10.07,-78.15,69.28,81,27,7.34
1507390,Dikson,RU,73.51,80.55,31.8,95,100,22.03
1258289,Rāyagada,IN,19.17,83.42,103.26,18,39,4.81
504341,Pskov,RU,57.81,28.35,48.2,66,75,6.71
1310460,Martaban,MM,16.53,97.61,93.67,41,34,14.65
3831208,Qaanaaq,GL,77.48,-69.36,10.08,78,100,4.59
1729469,Baculin,PH,7.45,126.58,82.9,73,54,6.06
2161515,Kiama,AU,-34.68,150.87,64.98,66,43,7.0
5848280,Kapaa,US,22.08,-159.32,69.53,88,1,3.36
2084246,Wabag,PG,-5.48,143.7,57.47,51,91,0.89
2127202,Anadyr,RU,64.75,177.48,5.0,77,0,8.95
2109528,Buala,SB,-8.14,159.59,82.44,77,90,5.19
1264976,Leh,IN,34.17,77.58,42.01,14,100,4.59
786827,Lozovik,RS,44.47,21.1,59.0,35,100,1.99
